0,0,6,17,25,25,17,6,0,0
0,11,32,48,58,58,48,32,11,0
6,32,59,90,117,117,90,59,32,6
17,49,90,154,202,202,154,90,49,17
25,58,117,202,255,255,202,117,58,25
25,58,117,202,255,255,202,117,58,25
17,48,90,154,202,202,154,90,48,17
6,32,59,90,117,117,90,59,32,6
0,11,32,48,58,58,48,32,11,0
0,0,6,17,25,25,17,6,0,0
